,geometry
130,"POLYGON ((339156.83256960544 5274767.07623245, 339156.83256960544 5275967.07623245, 337956.83256960544 5275967.07623245, 337956.83256960544 5274767.07623245, 339156.83256960544 5274767.07623245))"
131,"POLYGON ((339156.83256960544 5275967.07623245, 339156.83256960544 5277167.07623245, 337956.83256960544 5277167.07623245, 337956.83256960544 5275967.07623245, 339156.83256960544 5275967.07623245))"
132,"POLYGON ((339156.83256960544 5277167.07623245, 339156.83256960544 5278367.07623245, 337956.83256960544 5278367.07623245, 337956.83256960544 5277167.07623245, 339156.83256960544 5277167.07623245))"
133,"POLYGON ((339156.83256960544 5278367.07623245, 339156.83256960544 5279567.07623245, 337956.83256960544 5279567.07623245, 337956.83256960544 5278367.07623245, 339156.83256960544 5278367.07623245))"
134,"POLYGON ((339156.83256960544 5279567.07623245, 339156.83256960544 5280767.07623245, 337956.83256960544 5280767.07623245, 337956.83256960544 5279567.07623245, 339156.83256960544 5279567.07623245))"
135,"POLYGON ((339156.83256960544 5280767.07623245, 339156.83256960544 5281967.07623245, 337956.83256960544 5281967.07623245, 337956.83256960544 5280767.07623245, 339156.83256960544 5280767.07623245))"
136,"POLYGON ((339156.83256960544 5281967.07623245, 339156.83256960544 5283167.07623245, 337956.83256960544 5283167.07623245, 337956.83256960544 5281967.07623245, 339156.83256960544 5281967.07623245))"
137,"POLYGON ((339156.83256960544 5283167.07623245, 339156.83256960544 5284367.07623245, 337956.83256960544 5284367.07623245, 337956.83256960544 5283167.07623245, 339156.83256960544 5283167.07623245))"
138,"POLYGON ((339156.83256960544 5284367.07623245, 339156.83256960544 5285567.07623245, 337956.83256960544 5285567.07623245, 337956.83256960544 5284367.07623245, 339156.83256960544 5284367.07623245))"
139,"POLYGON ((339156.83256960544 5285567.07623245, 339156.83256960544 5286767.07623245, 337956.83256960544 5286767.07623245, 337956.83256960544 5285567.07623245, 339156.83256960544 5285567.07623245))"
140,"POLYGON ((339156.83256960544 5286767.07623245, 339156.83256960544 5287967.07623245, 337956.83256960544 5287967.07623245, 337956.83256960544 5286767.07623245, 339156.83256960544 5286767.07623245))"
141,"POLYGON ((339156.83256960544 5287967.07623245, 339156.83256960544 5289167.07623245, 337956.83256960544 5289167.07623245, 337956.83256960544 5287967.07623245, 339156.83256960544 5287967.07623245))"
142,"POLYGON ((339156.83256960544 5289167.07623245, 339156.83256960544 5290367.07623245, 337956.83256960544 5290367.07623245, 337956.83256960544 5289167.07623245, 339156.83256960544 5289167.07623245))"
143,"POLYGON ((339156.83256960544 5290367.07623245, 339156.83256960544 5291567.07623245, 337956.83256960544 5291567.07623245, 337956.83256960544 5290367.07623245, 339156.83256960544 5290367.07623245))"
144,"POLYGON ((339156.83256960544 5291567.07623245, 339156.83256960544 5292767.07623245, 337956.83256960544 5292767.07623245, 337956.83256960544 5291567.07623245, 339156.83256960544 5291567.07623245))"
